"year","month","sst"
1996,9,26.49
1996,10,26.48
1996,11,26.42
1996,12,26.15
1997,1,26.16
1997,2,26.5
1997,3,27.05
1997,4,28.02
1997,5,28.53
1997,6,28.81
1997,7,28.75
1997,8,28.7
1997,9,28.84
1997,10,29.07
1997,11,29.1
1997,12,28.95
1998,1,28.92
1998,2,28.78
1998,3,28.69
1998,4,28.72
1998,5,28.63
1998,6,27.58
1998,7,26.57
1998,8,25.84
1998,9,25.74
1998,10,25.56
1998,11,25.57
1998,12,25.21
1999,1,25.14
1999,2,25.65
1999,3,26.53
1999,4,26.98
1999,5,27.06
1999,6,26.71
1999,7,26.36
1999,8,25.86
1999,9,25.88
1999,10,25.7
1999,11,25.35
1999,12,25.13
2000,1,25.02
2000,2,25.44
2000,3,26.36
2000,4,27.03
2000,5,27.23
2000,6,27.07
2000,7,26.74
2000,8,26.43
2000,9,26.34
2000,10,26.09
2000,11,26.02
2000,12,25.89
2001,1,25.98
2001,2,26.32
2001,3,26.97
2001,4,27.47
2001,5,27.76
2001,6,27.66
2001,7,27.38
2001,8,26.89
2001,9,26.71
2001,10,26.7
2001,11,26.5
2001,12,26.29
2002,1,26.56
2002,2,26.86
2002,3,27.41
2002,4,27.98
2002,5,28.36
2002,6,28.5
2002,7,28.09
2002,8,27.82
2002,9,27.86
2002,10,28.01
2002,11,28.14
2002,12,28.01
2003,1,27.44
2003,2,27.55
2003,3,27.8
2003,4,27.84
2003,5,27.58
2003,6,27.65
2003,7,27.57
2003,8,27.18
2003,9,27.1
2003,10,27.26
2003,11,27.2
2003,12,27.11
2004,1,26.96
2004,2,27.08
2004,3,27.46
2004,4,28
2004,5,28.13
2004,6,27.93
2004,7,27.89
2004,8,27.69
2004,9,27.64
2004,10,27.57
2004,11,27.49
2004,12,27.47
2005,1,27.39
2005,2,27.34
2005,3,27.9
2005,4,28.24
2005,5,28.41
2005,6,27.97
2005,7,27.23
2005,8,27.02
2005,9,26.9
2005,10,26.81
2005,11,26.34
2005,12,26.01
2006,1,25.92
2006,2,26.33
2006,3,26.84
2006,4,27.68
2006,5,27.96
2006,6,27.85
2006,7,27.42
2006,8,27.3
2006,9,27.45
2006,10,27.54
2006,11,27.79
2006,12,27.81
2007,1,27.44
2007,2,27.11
2007,3,27.38
2007,4,27.71
2007,5,27.71
2007,6,27.58
2007,7,27
2007,8,26.44
2007,9,26.01
2007,10,25.74
2007,11,25.59
2007,12,25.5
2008,1,25.23
2008,2,25.42
2008,3,26.29
2008,4,27
2008,5,27.26
2008,6,27.2
2008,7,27.04
2008,8,26.8
2008,9,26.63
2008,10,26.54
2008,11,26.42
2008,12,25.98
2009,1,25.81
2009,2,26.19
2009,3,26.97
2009,4,27.78
2009,5,28.16
2009,6,28.15
2009,7,27.86
2009,8,27.52
2009,9,27.5
2009,10,27.76
2009,11,28.11
2009,12,28.15
2010,1,27.97
2010,2,28
2010,3,28.25
2010,4,28.36
2010,5,27.98
2010,6,27.28
2010,7,26.52
2010,8,25.8
2010,9,25.46
2010,10,25.47
2010,11,25.46
2010,12,25.38
2011,1,25.25
2011,2,25.84
2011,3,26.61
2011,4,27.3
2011,5,27.62
2011,6,27.6
2011,7,27.1
2011,8,26.44
2011,9,26.08
2011,10,25.97
2011,11,25.86
2011,12,25.87
2012,1,25.94
2012,2,26.3
2012,3,26.94
2012,4,27.42
2012,5,27.65
2012,6,27.63
2012,7,27.46
2012,8,27.25
2012,9,27.36
2012,10,27.28
2012,11,27.1
2012,12,26.45
2013,1,26.16
2013,2,26.4
2013,3,26.97
2013,4,27.71
2013,5,27.83
2013,6,27.48
2013,7,27.09
2013,8,26.78
2013,9,26.7
2013,10,26.67
2013,11,26.62
2013,12,26.53
2014,1,26.13
2014,2,26.18
2014,3,26.91
2014,4,27.73
2014,5,28.02
2014,6,27.69
2014,7,27.28
2014,8,26.9
2014,9,27.03
2014,10,27.25
2014,11,27.51
2014,12,27.4
2015,1,27.22
2015,2,27.25
2015,3,27.79
2015,4,28.59
2015,5,28.83
2015,6,28.7
2015,7,28.5
2015,8,28.47
2015,9,28.62
2015,10,28.86
2015,11,29.14
2015,12,29.04
2016,1,28.95
2016,2,28.89
2016,3,28.86
2016,4,28.96
2016,5,28.59
2016,6,27.81
2016,7,26.98
2016,8,26.39
2016,9,26.2
2016,10,26.04
2016,11,25.96
2016,12,26.08
2017,1,26.25
2017,2,26.65
