lat,lon,n,year,month,day,ozone,ozone_max,hour_max,aqi,pressure,humidity,temp,windsp,winddir
33.83062,-117.93845,24,2001,11,29,0.008625,0.012,7,10,29.729167,73.5,51.416667,3.933333,91.75
33.83062,-117.93845,24,2001,11,30,0.014083,0.028,9,24,29.804167,48.458333,53.958333,2.741667,141.833333
33.83062,-117.93845,24,2001,12,1,0.015,0.03,10,25,29.908333,78.458333,55.166667,2.783333,130.583333
33.83062,-117.93845,24,2001,12,2,0.023292,0.033,10,28,29.833333,86.166667,55.666667,2.520833,139.5
33.83062,-117.93845,24,2001,12,3,0.019125,0.032,10,27,29.75,53.416667,56.25,3.391667,188.333333
33.83062,-117.93845,24,2001,12,4,0.012042,0.022,9,19,28.566667,58.208333,50.708333,2.054167,147.333333
33.83062,-117.93845,24,2001,12,5,0.012708,0.023,9,19,30.025,77.541667,53.666667,3.1375,133.666667
33.83062,-117.93845,24,2001,12,6,0.009375,0.014,7,12,29.958333,60.75,59.625,1.816667,162.291667
33.83062,-117.93845,24,2001,12,7,0.024792,0.035,21,30,29.925,30.708333,67,6.879167,81.25
33.83062,-117.93845,24,2001,12,8,0.026083,0.034,0,29,29.9125,10.625,70.666667,8.508333,69.25
33.83062,-117.93845,24,2001,12,9,0.020375,0.036,11,31,29.666667,51,55.958333,4.541667,158.708333
33.83062,-117.93845,24,2001,12,10,0.0145,0.029,9,25,29.554167,72.875,50.333333,2.4625,194.375
33.83062,-117.93845,24,2001,12,11,0.011375,0.02,10,17,29.65,62.625,52.083333,2.608333,154.375
33.83062,-117.93845,24,2001,12,12,0.010667,0.018,9,15,29.904167,58.833333,54,2.7375,122.375
33.83062,-117.93845,24,2001,12,13,0.011458,0.02,8,17,29.9875,69.625,52.416667,2.7125,129.083333
33.83062,-117.93845,24,2001,12,14,0.010208,0.017,7,14,29.625,53.833333,48.25,2.779167,106.666667
33.83062,-117.93845,24,2001,12,15,0.012875,0.025,9,21,29.758333,57.958333,50.208333,2.570833,103.958333
33.83062,-117.93845,24,2001,12,16,0.013,0.025,9,21,30.004167,43,52.75,2.379167,123.75
33.83062,-117.93845,24,2001,12,17,0.009208,0.014,9,12,29.954167,53.875,52.833333,2.670833,129.25
33.83062,-117.93845,24,2001,12,18,0.007792,0.01,7,8,29.904167,68.541667,53.958333,2.6375,146.833333
33.83062,-117.93845,24,2001,12,19,0.008875,0.013,8,11,29.779167,72.875,54.083333,2.741667,140.416667
33.83062,-117.93845,24,2001,12,20,0.01475,0.022,20,19,29.779167,81.666667,52.208333,2.491667,159.25
33.83062,-117.93845,24,2001,12,21,0.012,0.02,9,17,29.891667,54.375,51.458333,2.195833,166.708333
33.83062,-117.93845,24,2001,12,22,0.01175,0.021,9,18,30.016667,46,52.208333,2.491667,141.375
